2024-11-02 07:08:50 UTC | PROCESS | INFO | (comp/core/workloadmeta/impl/store.go:557 in startCandidates) | workloadmeta collector "kube_metadata" could not start. error: component workloadmeta-kube_metadata is disabled: Agent is not running on Kubernetes
2024-11-02 07:08:50 UTC | PROCESS | INFO | (comp/core/workloadmeta/impl/store.go:557 in startCandidates) | workloadmeta collector "containerd" could not start. error: component workloadmeta-containerd is disabled: Agent is not running on containerd
2024-11-02 07:08:50 UTC | PROCESS | INFO | (comp/core/workloadmeta/impl/store.go:557 in startCandidates) | workloadmeta collector "ecs_fargate" could not start. error: component workloadmeta-ecs_fargate is disabled: Agent is not running on ECS Fargate
2024-11-02 07:08:50 UTC | PROCESS | INFO | (comp/core/workloadmeta/impl/store.go:554 in startCandidates) | workloadmeta collector "host" started successfully
2024-11-02 07:08:50 UTC | PROCESS | INFO | (comp/core/workloadmeta/impl/store.go:557 in startCandidates) | workloadmeta collector "podman" could not start. error: component workloadmeta-podman is disabled: Podman not detected
2024-11-02 07:08:50 UTC | PROCESS | INFO | (comp/core/workloadmeta/impl/store.go:557 in startCandidates) | workloadmeta collector "kubelet" could not start. error: component workloadmeta-kubelet is disabled: Agent is not running on Kubernetes
2024-11-02 07:08:50 UTC | PROCESS | INFO | (comp/core/workloadmeta/impl/store.go:557 in startCandidates) | workloadmeta collector "cloudfoundry-vm" could not start. error: component workloadmeta-cloudfoundry-vm is disabled: Agent is not running on CloudFoundry
2024-11-02 07:08:50 UTC | PROCESS | INFO | (comp/core/workloadmeta/impl/store.go:557 in startCandidates) | workloadmeta collector "cloudfoundry-container" could not start. error: component workloadmeta-cloudfoundry-container is disabled: Agent is not running on CloudFoundry
2024-11-02 07:08:50 UTC | PROCESS | INFO | (pkg/process/runner/runner.go:243 in logCheckDuration) | Finished process_discovery check #1 in 931.584µs
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/transaction/transaction.go:450 in internalProcess) | Successfully posted payload to "https://process.datadoghq.com/api/v1/discovery" (202 Accepted), the agent will only log transaction success every 500 transactions
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:404 in Stop) | stopping the Forwarder
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/domain_forwarder.go:256 in Stop) | domainForwarder stopped
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:404 in Stop) | stopping the Forwarder
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/domain_forwarder.go:256 in Stop) | domainForwarder stopped
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:404 in Stop) | stopping the Forwarder
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/domain_forwarder.go:256 in Stop) | domainForwarder stopped
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:404 in Stop) | stopping the Forwarder
2024-11-02 07:08:52 UTC | PROCESS | INFO | (comp/forwarder/defaultforwarder/domain_forwarder.go:256 in Stop) | domainForwarder stopped
2024-11-02 07:08:52 UTC | PROCESS | INFO | (command/main_common.go:283 in runApp) | The process-agent has successfully been shut down
2024-11-02 07:08:52 UTC | PROCESS | INFO | (command/main_common.go:283 in runApp) | The process-agent has successfully been shut down
2024-11-02 07:08:52 UTC | PROCESS | INFO | (command/main_common.go:283 in runApp) | The process-agent has successfully been shut down
